Motif;StartSec;EndSec
Feuerzauber;3625.04;3628.445
Feuerzauber;3630.56;3634.03
Feuerzauber;3733.4;3737.06
Feuerzauber;3739.22;3742.345
Horn;482.93;484.315
Horn;485.8;487.295
Horn;488.68;489.704
Horn;488.68;494.33
Horn;496.79;500.34
Horn;501.93;507.9289
Horn;513.4;519.7591
Horn;521.33;521.8589
Horn;540.19;543.4989
Horn;758.13;760.7586
Horn;3939.615;3941.14
Horn;3942.7;3944.21
Horn;3974.28;3975.948
Horn;3982.72;3983.679
Horn;3982.72;3986.22
Horn;3988.627;3990.659
Horn;4006.76;4008.3
Horn;4009.92;4011.365
Horn;4917.52;4919.02
Horn;4917.52;4919.92
Horn;4922.3;4923.734
Jugendkraft;580.072;581.4194
Jugendkraft;580.072;585.2293
Jugendkraft;590.27;591.5294
Jugendkraft;592.84;593.5693
Jugendkraft;592.84;601.9394
Jugendkraft;603.2;607.0394
Jugendkraft;621.52;622.8794
Jugendkraft;621.52;626.6694
Jugendkraft;629.28;639.8192
Jugendkraft;703.1;704.5592
Jugendkraft;849.7997;851.0727
Jugendkraft;856.6497;857.8761
Jugendkraft;863.3463;864.6627
Jugendkraft;870.0863;871.5393
Jugendkraft;872.2097;872.849
Jugendkraft;872.2097;879.2794
Jugendkraft;897.28;900.1194
Jugendkraft;1199.906;1200.846
Jugendkraft;1278.16;1279.4
Jugendkraft;1278.16;1281.799
Jugendkraft;1683.18;1692.719
Jugendkraft;1726.393;1727.633
Jugendkraft;1728.24;1729.506
Jugendkraft;1730.106;1731.373
Jugendkraft;1732.0;1732.559
Jugendkraft;3142.1;3143.179
Jugendkraft;3142.1;3157.519
Jugendkraft;3392.82;3395.159
Jugendkraft;3397.06;3400.159
Jugendkraft;3413.22;3413.851
Jugendkraft;3414.483;3415.879
Jugendkraft;3444.92;3445.56
Jugendkraft;3446.2;3446.91
Jugendkraft;3447.62;3448.28
Jugendkraft;3447.62;3448.939
Jugendkraft;3470.86;3473.276
Jugendkraft;3506.44;3508.399
Jugendkraft;3573.11;3573.719
Jugendkraft;3573.11;3575.006
Jugendkraft;3575.614;3577.599
Jugendkraft;3860.16;3865.359
Jugendkraft;3888.14;3889.439
Jugendkraft;3888.14;3890.639
Liebe;1393.615;1415.84
Mime;639.82;640.5026
Mime;639.82;654.7688
Mime;678.18;678.9492
Mime;679.85;680.5793
Mime;679.85;695.789
Mime;698.46;703.0989
Mime;707.26;717.11
Mime;719.2;719.965
Mime;720.73;721.485
Mime;722.24;723.14
Mime;722.24;724.0382
Mime;727.97;729.1068
Mime;730.34;731.5088
Mime;732.72;734.0287
Mime;735.17;736.5586
Mime;737.69;738.9288
Mime;740.08;741.4187
Mime;742.84;743.9889
Mime;745.31;746.5388
Mime;747.91;749.1687
Mime;750.38;751.7486
Mime;753.2;754.3788
Mime;755.73;756.9288
Mime;758.13;759.3488
Mime;760.76;761.9588
Mime;763.15;764.3588
Mime;766.91;768.0589
Mime;766.91;769.3787
Mime;773.25;779.5485
Mime;781.82;794.1089
Mime;798.11;799.2788
Mime;800.88;802.3585
Mime;800.88;803.329
Mime;808.2431;808.8091
Mime;808.2431;810.1287
