Motif;StartSec;EndSec
Feuerzauber;1692.36;1695.319
Feuerzauber;1697.1;1700.095
Feuerzauber;1709.16;1712.858
Feuerzauber;1868.11;1872.395
Feuerzauber;1878.02;1882.126
Feuerzauber;1926.74;1929.225
Feuerzauber;1932.62;1935.28
Feuerzauber;1935.66;1938.268
Feuerzauber;1947.7;1950.667
Feuerzauber;1947.7;1953.517
Horn;1878.02;1881.337
Horn;1891.04;1893.38
Horn;1902.33;1903.877
Horn;1905.51;1907.137
Horn;1912.03;1913.557
Horn;1915.18;1916.797
Horn;1923.44;1924.265
Horn;1923.44;1927.095
Horn;1929.58;1933.0
Horn;1941.6;1943.19
Horn;1944.78;1945.51
Horn;1944.78;1947.697
Jugendkraft;1392.96;1398.818
Nibelungen;1304.38;1307.845
Ring;461.28;466.0325
Ring;470.36;474.975
Ring;487.74;499.2371
Ring;960.04;964.7573
Ring;960.04;974.5777
Ritt;2.183104;37.0653
Ritt;40.749;91.35816
Ritt;97.345;98.235
Schicksal;115.65;121.658
Schicksal;123.478;129.3481
Schicksal;289.24;295.2475
Schicksal;553.76;560.448
Schicksal;553.76;567.5362
Schicksal;694.97;702.1676
Schicksal;705.65;710.212
Schicksal;713.56;717.7425
Schicksal;740.61;748.4866
Schicksal;2063.64;2073.515
Schicksal;2151.0;2160.457
Schicksal;2783.76;2797.036
Schicksal;2803.27;2812.382
Schicksal;2856.82;2865.496
Schicksal;3461.607;3468.936
Schicksal;3638.66;3644.878
Schicksal;4485.74;4490.642
Schicksal;4686.489;4689.953
Schicksal;4714.698;4720.398
Schwert;939.3662;942.81
Schwert;962.1913;965.3883
Schwert;1159.956;1162.219
Schwert;1280.163;1284.446
Schwert;1773.063;1775.915
Schwert;2467.229;2474.768
Schwert;2702.419;2705.93
Siegfried;929.5788;934.8277
Siegfried;978.9725;983.81
Siegfried;1724.04;1728.415
Siegfried;1731.166;1733.825
Siegfried;1737.942;1741.888
Siegfried;1829.82;1834.757
Siegfried;1838.084;1840.977
Siegfried;1887.298;1894.157
Siegfried;1896.995;1901.168
Siegfried;1906.733;1910.882
Siegfried;1916.395;1921.865
Siegfried;1916.395;1926.737
Siegfried;2011.81;2016.236
Siegfried;3188.912;3195.19
Siegfried;3196.713;3202.45
Siegfried;3203.823;3209.76
Siegfried;3211.391;3217.151
Siegfried;3343.18;3346.317
Siegfried;4761.84;4770.12
Siegfried;4770.465;4777.936
Siegfried;4785.082;4788.791
Siegfried;4910.595;4913.085
Siegfried;4917.86;4920.535
Siegfried;4932.35;4938.298
Unmuth;16.251;18.86383
Unmuth;1515.759;1521.962
Unmuth;1530.966;1537.112
Unmuth;1543.392;1549.079
Unmuth;1561.175;1564.045
Unmuth;1569.86;1574.106
Unmuth;1599.72;1602.965
Unmuth;1603.62;1606.399
Unmuth;1639.14;1641.505
Unmuth;1639.14;1642.485
Unmuth;1646.12;1649.307
Vertrag;26.514;40.7472
Vertrag;127.47;131.308
Vertrag;127.47;137.2325
Vertrag;217.78;226.657
Vertrag;806.76;811.0278
Vertrag;1630.339;1634.958
Vertrag;1740.5;1744.798
Vertrag;1755.16;1759.485
Vertrag;1781.15;1784.977
Waberlohe;544.8214;548.07
Waberlohe;544.8214;554.5763
Waberlohe;1977.873;1983.645
Waberlohe;1977.873;2005.678
Waberlohe;2006.546;2016.236
Waberlohe;2017.19;2024.95
Waberlohe;2037.315;2048.05
Waberlohe;2069.95;2078.615
Waberlohe;2090.96;2097.727
Waberlohe;2157.385;2161.596
Waberlohe;2157.385;2182.873
Waberlohe;2625.56;2629.991
Waberlohe;2656.828;2670.277
Waberlohe;4459.977;4464.484
Waberlohe;4477.795;4480.61
Waberlohe;4482.31;4486.5
Waberlohe;4502.233;4505.975
Waberlohe;4563.265;4565.04
Waberlohe;4563.265;4568.58
Walhall-b;3982.033;4001.275
