Motif;StartSec;EndSec
Horn;447.59;449.7878
Horn;447.59;454.066
Horn;850.24;852.1181
Horn;850.24;857.9981
Horn;1046.086;1049.278
Horn;1049.913;1053.058
Horn;1049.913;1056.678
Horn;1369.24;1372.399
Horn;1369.24;1378.819
Horn;3868.0;3871.018
Liebe;2904.76;2909.69
Mannen;1228.64;1230.719
Mannen;1228.64;1257.339
Mannen;1260.661;1261.759
Mannen;1260.661;1263.839
Mannen;1321.7;1330.239
Mannen;1335.84;1346.599
Mannen;1380.084;1388.759
Mannen;1404.64;1411.019
Mannen;1428.1;1429.658
Mannen;1446.44;1449.398
Mannen;1446.44;1452.578
Mannen;1470.68;1473.998
Mannen;1574.2;1577.398
Mannen;1574.2;1580.618
Mannen;1585.4;1599.579
Mannen;2477.76;2479.778
Mannen;2477.76;2486.19
Mannen;2488.92;2489.89
Mannen;2490.86;2491.775
Mannen;2518.28;2519.52
Mannen;2520.759;2521.65
Mannen;2639.32;2640.725
Mannen;2639.32;2643.955
Nibelungenhass;0.1227692;9.803128
Nibelungenhass;55.78187;60.80673
Nibelungenhass;55.78187;123.3686
Nibelungenhass;188.7575;190.7401
Nibelungenhass;191.1317;193.056
Nibelungenhass;193.4534;195.6975
Nibelungenhass;199.62;204.7381
Nibelungenhass;199.62;208.572
Nibelungenhass;254.99;259.9654
Nibelungenhass;254.99;266.66
Nibelungenhass;273.8443;283.1451
Nibelungenhass;317.0734;321.5278
Nibelungenhass;326.246;348.5477
Nibelungenhass;368.2775;371.7436
Nibelungenhass;380.5844;385.255
Nibelungenhass;395.3526;400.2947
Nibelungenhass;463.1538;466.8561
Nibelungenhass;463.1538;474.9875
Nibelungenhass;512.0403;513.9
Nibelungenhass;516.62;519.3944
Nibelungenhass;516.62;530.8073
Nibelungenhass;552.2894;590.707
Nibelungenhass;628.9553;632.2828
Nibelungenhass;2162.533;2165.159
Nibelungenhass;2167.648;2169.978
Nibelungenhass;2167.648;2177.216
Nibelungenhass;2179.988;2208.388
Nibelungenhass;2210.92;2227.085
Nibelungenhass;2298.732;2301.918
Nibelungenhass;2309.633;2311.018
Nibelungenhass;2393.342;2396.173
Nibelungenhass;2393.342;2399.537
Nibelungenhass;2412.163;2422.505
Nibelungenhass;2657.1;2662.918
Nibelungenhass;3112.055;3115.309
Nibelungenhass;3112.055;3117.798
Nibelungenhass;3123.82;3130.037
Nibelungenhass;3141.31;3145.69
Nibelungenhass;3147.17;3152.215
Nibelungenhass;3475.242;3477.669
Nibelungenhass;3475.242;3490.216
Nibelungenhass;3884.04;3889.918
Ring;162.2331;167.4748
Ring;172.28;177.9943
Ring;181.96;184.337
Ring;181.96;186.4051
Ring;338.32;339.5811
Ring;340.56;341.8199
Ring;427.8663;429.2438
Ring;431.09;432.295
Ring;431.09;435.4659
Ring;435.86;440.3837
Ring;502.59;506.9725
Ring;2251.36;2252.835
Ring;2253.72;2255.12
Ring;2255.96;2257.303
Ring;2259.637;2260.626
Ring;2263.02;2264.411
Ring;2265.245;2266.695
Ring;2267.564;2269.713
Ring;2272.34;2276.185
Ring;2277.08;2281.184
Ring;2334.84;2335.84
Ring;2336.84;2337.86
Ring;2338.88;2339.94
Ring;2338.88;2340.998
Ring;2350.86;2351.9
Ring;3758.94;3763.318
Ring;3758.94;3767.518
Schicksal;2077.155;2086.506
Schicksal;3198.7;3209.33
Schicksal;3209.82;3217.456
Schicksal;3220.902;3227.517
Schicksal;3231.62;3237.697
Schwert;350.87;353.8
Schwert;419.545;422.515
Schwert;527.92;531.4832
Schwert;1003.504;1007.452
Schwert;1966.035;1969.287
Schwert;2578.245;2584.218
Schwert;2589.658;2595.338
Schwert;2596.75;2600.43
Schwert;2615.705;2618.419
Schwert;2625.588;2629.738
Schwert;3507.687;3511.15
Siegfried;2313.98;2319.782
Siegfried;3383.304;3388.459
Siegfried;3431.49;3439.364
Siegfried;3445.978;3453.452
Siegfried;3502.625;3506.783
Vertrag;422.515;427.3094
Vertrag;2578.72;2582.478
