Motif;StartSec;EndSec
Feuerzauber;3103.78;3106.457
Feuerzauber;3103.78;3118.29
Feuerzauber;3124.98;3127.477
Feuerzauber;3124.98;3143.437
Feuerzauber;3256.0;3268.09
Feuerzauber;3274.74;3277.317
Feuerzauber;3274.74;3281.19
Feuerzauber;3893.14;3895.94
Feuerzauber;3920.56;3925.44
Feuerzauber;3926.96;3930.685
Feuerzauber;3933.04;3937.6
Feuerzauber;3939.1;3942.83
Feuerzauber;3945.14;3948.93
Feuerzauber;3951.24;3954.177
Feuerzauber;3951.24;4124.254
Geschwisterliebe;663.61;665.0013
Geschwisterliebe;935.54;937.6591
Geschwisterliebe;938.11;940.1658
Liebe;2758.98;2766.22
Ring;889.55;893.7162
Ritt;15.3711;16.47336
Ritt;17.12003;18.41006
Ritt;19.06701;20.37704
Ritt;20.98074;22.1842
Ritt;22.8277;24.11107
Ritt;24.70141;25.87823
Ritt;26.5067;27.76011
Ritt;28.40602;29.69408
Ritt;36.02436;37.31406
Ritt;37.9477;39.2111
Ritt;39.81007;41.00422
Ritt;41.60507;42.80319
Ritt;49.16141;50.34623
Ritt;50.97604;52.23211
Ritt;52.85838;54.10713
Ritt;54.72272;55.95015
Ritt;56.58303;57.8451
Ritt;62.12538;63.34816
Ritt;63.99269;65.27807
Ritt;65.93002;67.23005
Ritt;73.52903;74.77912
Ritt;135.346;136.678
Ritt;137.2994;138.5381
Ritt;141.1571;142.4913
Ritt;143.1349;144.4181
Ritt;145.0427;146.2881
Ritt;205.6727;206.978
Ritt;207.6094;208.8681
Ritt;209.536;210.868
Ritt;211.4994;212.7581
Ritt;213.4127;214.718
Ritt;215.386;216.718
Ritt;217.3261;218.5382
Ritt;219.1893;220.488
Ritt;221.176;222.5479
Ritt;223.1328;224.2982
Ritt;224.9394;226.2181
Ritt;226.8494;228.1081
Ritt;228.7327;229.9781
Ritt;230.6427;231.968
Ritt;232.6094;233.8881
Ritt;234.556;235.888
Ritt;236.5244;237.7931
Ritt;238.4893;239.8779
Ritt;240.5227;241.8081
Ritt;242.5093;243.9079
Ritt;436.8262;437.8185
Ritt;438.2695;439.1687
Ritt;439.6462;440.5986
Ritt;441.0829;442.0486
Ritt;442.5428;443.5285
Ritt;443.9829;444.8886
Ritt;445.3529;446.2786
Ritt;446.7695;447.7485
Ritt;448.1962;449.0887
Ritt;449.5728;450.5386
Ritt;451.0129;451.9586
Ritt;452.3996;453.2787
Ritt;453.7295;454.6287
Ritt;455.1328;456.1385
Ritt;456.6595;457.6984
Ritt;458.1562;459.0686
Ritt;459.5129;460.3987
Ritt;460.9161;461.9485
Ritt;462.3696;463.2087
Ritt;474.2362;475.1287
Ritt;475.6262;476.6185
Ritt;477.1428;478.1884
Ritt;481.2129;482.0787
Ritt;482.5495;483.4886
Ritt;483.9762;484.9485
Ritt;549.23;550.03
Ritt;549.23;554.6581
Ritt;1796.094;1797.478
Ritt;1798.119;1799.398
Ritt;1800.039;1801.318
Ritt;1804.039;1805.358
Ritt;1806.006;1807.298
Ritt;1808.019;1809.458
Ritt;1811.939;1813.498
Schicksal;2899.64;2905.997
Schicksal;2899.64;2912.497
Schicksal;3623.11;3631.883
Schicksal;3823.87;3832.11
Schicksal;3823.87;3843.253
Schicksal;4100.655;4107.578
Schwert;963.3096;963.9662
Schwert;995.6382;998.775
Schwert;2884.37;2887.11
Siegfried;947.61;957.0888
Siegfried;947.61;963.5088
Siegfried;1022.93;1028.114
Siegfried;2836.9;2843.585
Siegfried;2859.932;2867.31
Siegfried;3051.898;3059.905
Siegfried;3294.02;3313.215
Siegfried;3984.215;4010.6
Siegfried;4014.595;4042.703
Unmuth;1151.03;1152.125
Unmuth;1211.065;1215.947
Unmuth;1232.31;1237.193
Unmuth;1245.24;1250.178
Unmuth;1257.068;1260.218
Unmuth;1716.04;1721.39
Unmuth;1741.98;1745.838
Unmuth;1857.68;1863.848
Unmuth;1909.75;1917.096
Unmuth;1909.75;1931.816
Unmuth;2024.361;2030.722
Unmuth;2024.361;2041.117
Unmuth;2048.805;2053.839
Unmuth;2069.98;2078.777
Unmuth;2118.52;2122.728
Unmuth;2128.14;2132.686
Unmuth;2201.373;2204.419
Unmuth;2201.373;2208.369
Unmuth;2361.56;2367.102
Vertrag;1561.593;1569.098
Vertrag;1697.44;1699.861
Vertrag;1701.86;1705.079
Vertrag;3090.855;3095.558
Vertrag;3853.46;3860.621
Vertrag;3881.44;3886.436
Waberlohe;3029.9;3031.762
Waberlohe;3029.9;3045.083
Waberlohe;3060.34;3070.63
Waberlohe;3165.28;3170.563
Waberlohe;3211.04;3218.118
Waberlohe;3225.48;3233.374
Waberlohe;3416.1;3482.835
Waberlohe;3514.34;3525.168
Waberlohe;3555.1;3558.968
Waberlohe;3555.1;3561.282
Waberlohe;3579.59;3605.216
Waberlohe;3607.6;3619.158
Waberlohe;3619.96;3627.667
Waberlohe;3719.143;3762.812
Waberlohe;3800.1;3804.225
Waberlohe;3800.1;3804.225
Waberlohe;3806.7;3833.237
Waberlohe;3970.885;4095.767
