Motif;StartSec;EndSec
Feuerzauber;1724.4;1727.645
Feuerzauber;1729.52;1732.895
Feuerzauber;1742.96;1746.985
Feuerzauber;1910.7;1915.265
Feuerzauber;1921.64;1926.27
Feuerzauber;1975.28;1978.089
Feuerzauber;1981.84;1984.588
Feuerzauber;1984.98;1987.763
Feuerzauber;1997.92;2001.177
Feuerzauber;1997.92;2004.437
Horn;1921.64;1925.336
Horn;1936.58;1939.205
Horn;1949.217;1950.737
Horn;1952.58;1954.416
Horn;1959.72;1961.357
Horn;1963.08;1964.797
Horn;1971.82;1972.685
Horn;1971.82;1975.681
Horn;1978.49;1982.232
Horn;1991.36;1993.0
Horn;1994.64;1995.46
Horn;1994.64;1997.917
Jugendkraft;1435.08;1441.278
Nibelungen;1352.72;1355.845
Ring;489.76;494.75
Ring;499.58;504.1305
Ring;518.26;530.2369
Ring;1017.78;1022.176
Ring;1017.78;1031.698
Ritt;5.151903;46.4219
Ritt;50.82399;108.0479
Ritt;114.83;115.77
Schicksal;134.93;141.8079
Schicksal;143.98;150.1282
Schicksal;316.3;320.9782
Schicksal;584.53;591.2683
Schicksal;584.53;597.8469
Schicksal;734.3933;741.3739
Schicksal;744.46;748.7495
Schicksal;752.61;756.9906
Schicksal;781.45;788.7867
Schicksal;2116.16;2125.755
Schicksal;2196.04;2205.395
Schicksal;2772.4;2785.9
Schicksal;2793.04;2803.597
Schicksal;2856.06;2868.755
Schicksal;3452.24;3457.537
Schicksal;3620.4;3624.798
Schicksal;4398.3;4402.562
Schicksal;4612.285;4615.705
Schicksal;4640.233;4645.178
Schwert;995.2812;999.2562
Schwert;1019.889;1022.763
Schwert;1218.292;1220.553
Schwert;1330.833;1334.906
Schwert;1807.843;1810.85
Schwert;2440.803;2444.75
Schwert;2691.316;2694.754
Siegfried;985.6612;990.4877
Siegfried;1035.735;1040.2
Siegfried;1758.185;1762.845
Siegfried;1765.876;1768.869
Siegfried;1773.253;1777.425
Siegfried;1870.205;1874.975
Siegfried;1878.1;1880.858
Siegfried;1932.227;1940.076
Siegfried;1943.23;1948.076
Siegfried;1953.96;1958.49
Siegfried;1964.37;1970.11
Siegfried;1964.37;1975.277
Siegfried;2066.165;2070.516
Siegfried;3178.166;3184.3
Siegfried;3185.848;3191.65
Siegfried;3193.139;3199.9
Siegfried;3201.714;3208.293
Siegfried;3329.34;3332.517
Siegfried;4684.44;4692.855
Siegfried;4693.23;4701.12
Siegfried;4708.53;4712.658
Siegfried;4827.815;4830.32
Siegfried;4836.06;4838.839
Siegfried;4849.559;4855.158
Unmuth;21.7065;24.7305
Unmuth;1550.833;1556.419
Unmuth;1565.719;1571.479
Unmuth;1577.499;1583.112
Unmuth;1596.982;1600.009
Unmuth;1605.843;1608.986
Unmuth;1633.921;1636.985
Unmuth;1637.6;1640.141
Unmuth;1669.74;1672.053
Unmuth;1669.74;1673.062
Unmuth;1676.678;1679.827
Vertrag;33.832;50.82179
Vertrag;148.31;152.5176
Vertrag;148.31;159.2488
Vertrag;247.25;256.9965
Vertrag;845.2;849.6677
Vertrag;1661.98;1665.798
Vertrag;1776.0;1780.418
Vertrag;1791.02;1794.978
Vertrag;1816.112;1820.133
Waberlohe;573.3314;577.94
Waberlohe;573.3314;585.426
Waberlohe;2032.12;2038.06
Waberlohe;2032.12;2060.096
Waberlohe;2060.975;2070.516
Waberlohe;2071.41;2079.19
Waberlohe;2091.095;2100.681
Waberlohe;2121.845;2129.576
Waberlohe;2138.5;2145.29
Waberlohe;2201.92;2206.4
Waberlohe;2201.92;2226.744
Waberlohe;2610.3;2615.26
Waberlohe;2643.343;2657.908
Waberlohe;4374.199;4378.639
Waberlohe;4390.77;4393.599
Waberlohe;4394.876;4398.95
Waberlohe;4414.84;4418.545
Waberlohe;4479.775;4481.88
Waberlohe;4479.775;4485.895
Walhall-b;3910.361;3925.496
