Motif;StartSec;EndSec
Horn;443.1452;445.7774
Horn;443.1452;450.3676
Horn;805.24;807.0182
Horn;805.24;812.4282
Horn;996.1127;999.3225
Horn;999.9957;1003.258
Horn;999.9957;1006.958
Horn;1299.86;1302.938
Horn;1299.86;1310.238
Horn;3758.05;3760.938
Liebe;2746.09;2751.555
Mannen;1167.16;1169.354
Mannen;1167.16;1193.567
Mannen;1196.82;1197.659
Mannen;1196.82;1199.729
Mannen;1254.54;1262.279
Mannen;1267.6;1277.459
Mannen;1312.192;1320.129
Mannen;1335.56;1341.479
Mannen;1359.16;1360.838
Mannen;1378.052;1381.218
Mannen;1378.052;1384.059
Mannen;1401.98;1405.158
Mannen;1503.8;1506.938
Mannen;1503.8;1509.998
Mannen;1514.46;1527.899
Mannen;2330.68;2332.578
Mannen;2330.68;2338.79
Mannen;2341.52;2342.41
Mannen;2343.3;2344.19
Mannen;2368.46;2369.39
Mannen;2370.32;2371.31
Mannen;2486.36;2487.49
Mannen;2486.36;2490.355
Nibelungenhass;5.082;13.64987
Nibelungenhass;57.79682;63.02187
Nibelungenhass;57.79682;124.5127
Nibelungenhass;184.7125;186.845
Nibelungenhass;187.2783;189.4691
Nibelungenhass;189.9282;192.5571
Nibelungenhass;196.15;201.7137
Nibelungenhass;196.15;205.6319
Nibelungenhass;253.9095;258.7626
Nibelungenhass;253.9095;264.745
Nibelungenhass;271.2272;279.7805
Nibelungenhass;309.1741;314.0874
Nibelungenhass;319.5143;344.4275
Nibelungenhass;367.5562;370.7521
Nibelungenhass;380.0062;383.5162
Nibelungenhass;392.0457;395.6961
Nibelungenhass;461.1321;464.8659
Nibelungenhass;461.1321;473.7842
Nibelungenhass;510.3162;512.225
Nibelungenhass;515.17;518.175
Nibelungenhass;515.17;529.7757
Nibelungenhass;554.2604;588.0048
Nibelungenhass;621.8688;624.6624
Nibelungenhass;2036.278;2039.1
Nibelungenhass;2041.822;2044.123
Nibelungenhass;2041.822;2051.999
Nibelungenhass;2054.622;2085.231
Nibelungenhass;2087.5;2105.666
Nibelungenhass;2168.06;2170.698
Nibelungenhass;2178.118;2179.278
Nibelungenhass;2257.363;2259.463
Nibelungenhass;2257.363;2261.939
Nibelungenhass;2270.865;2278.005
Nibelungenhass;2502.8;2508.298
Nibelungenhass;2991.655;2995.916
Nibelungenhass;2991.655;2999.776
Nibelungenhass;3007.08;3014.976
Nibelungenhass;3027.928;3032.817
Nibelungenhass;3034.307;3039.81
Nibelungenhass;3353.923;3356.689
Nibelungenhass;3353.923;3372.517
Nibelungenhass;3773.62;3779.438
Ring;159.4931;163.9356
Ring;167.38;172.8146
Ring;177.72;180.0711
Ring;177.72;182.2992
Ring;333.18;334.6057
Ring;335.755;337.2111
Ring;422.825;424.178
Ring;426.1236;427.3618
Ring;426.1236;430.6492
Ring;431.06;435.5913
Ring;500.7633;505.1608
Ring;2129.38;2130.63
Ring;2131.38;2132.593
Ring;2133.32;2134.16
Ring;2136.06;2137.118
Ring;2139.02;2140.145
Ring;2140.82;2141.963
Ring;2142.649;2144.479
Ring;2146.74;2149.727
Ring;2150.44;2154.17
Ring;2202.08;2203.01
Ring;2203.94;2204.86
Ring;2205.78;2206.71
Ring;2205.78;2207.638
Ring;2216.92;2217.86
Ring;3642.46;3647.198
Ring;3642.46;3651.418
Schicksal;1961.24;1970.078
Schicksal;3092.731;3103.07
Schicksal;3103.54;3113.076
Schicksal;3116.888;3125.836
Schicksal;3130.48;3138.037
Schwert;346.99;350.41
Schwert;414.3975;417.4925
Schwert;526.925;530.4288
Schwert;954.5593;958.1587
Schwert;1870.773;1873.728
Schwert;2423.125;2428.998
Schwert;2434.245;2439.99
Schwert;2441.468;2445.35
Schwert;2460.61;2463.398
Schwert;2471.953;2477.177
Schwert;3396.612;3400.93
Siegfried;2182.14;2187.845
Siegfried;3267.01;3272.258
Siegfried;3316.422;3323.785
Siegfried;3329.442;3335.162
Siegfried;3389.774;3395.273
Vertrag;417.4925;422.2875
Vertrag;2423.62;2427.378
