Motif;StartSec;EndSec
Geschwisterliebe;442.95;452.0692
Geschwisterliebe;697.744;706.9983
Geschwisterliebe;709.84;714.3382
Geschwisterliebe;721.9054;731.6119
Geschwisterliebe;721.9054;732.8961
Geschwisterliebe;2096.24;2104.395
Geschwisterliebe;2110.58;2118.919
Geschwisterliebe;2110.58;2126.157
Geschwisterliebe;3504.3;3508.3
Geschwisterliebe;3513.62;3519.612
Geschwisterliebe;3535.48;3538.197
Geschwisterliebe;3542.38;3545.331
Geschwisterliebe;3542.38;3547.499
Liebe;452.47;460.545
Liebe;685.48;690.153
Liebe;685.48;696.232
Liebe;787.76;801.6314
Liebe;915.53;927.66
Liebe;1208.65;1218.447
Liebe;1524.034;1530.819
Liebe;2310.981;2316.216
Liebe;2321.72;2327.05
Liebe;3097.26;3102.038
Liebe;3097.26;3107.098
Liebe;3117.06;3137.398
Liebe;3153.26;3156.259
Liebe;3162.112;3165.965
Liebe;3198.36;3202.998
Liebe;3198.36;3206.825
Liebe;3248.56;3252.127
Liebe;3277.84;3280.59
Liebe;3343.74;3347.98
Liebe;3343.74;3351.265
Liebe;3375.24;3382.085
Liebe;3838.34;3842.387
Liebe;3838.34;3845.285
Liebe;3872.28;3875.122
Liebe;3892.676;3895.64
Schwert;2125.743;2140.356
Schwert;2209.2;2212.831
Schwert;2233.62;2237.017
Schwert;2244.56;2247.524
Schwert;2252.2;2257.372
Schwert;2387.742;2392.278
Schwert;2404.73;2409.398
Schwert;2418.305;2422.738
Schwert;2433.38;2438.27
Schwert;2452.08;2456.778
Schwert;2452.08;2461.158
Schwert;2502.12;2506.498
Schwert;2525.056;2530.717
Schwert;2625.315;2629.518
Schwert;2734.886;2740.586
Schwert;2734.886;2756.591
Schwert;2803.77;2810.497
Schwert;3555.941;3559.312
Schwert;3555.941;3563.165
Schwert;3703.12;3705.348
Schwert;3708.966;3711.045
Schwert;3711.957;3716.56
Schwert;3784.04;3788.56
Schwert;3788.99;3792.483
Schwert;3827.061;3831.16
Schwert;3887.135;3890.253
Schwert;3887.135;3892.675
Vertrag;2270.72;2277.183
Vertrag;3712.14;3716.56
Walhall-b;1498.08;1507.989
Walhall-b;2673.04;2676.576
Walhall-b;2679.34;2682.017
Walhall-b;2679.34;2699.537
Walhall-b;2707.735;2710.377
Walhall-b;2817.66;2820.657
Walhall-b;2823.04;2825.597
Walhall-b;2827.84;2830.173
Walhall-b;2832.42;2834.4
Walhall-b;3427.165;3429.478
Walhall-b;3432.58;3434.958
Walhall-b;3432.58;3447.516
Walhall-b;3570.1;3572.498
Walhall-b;3574.678;3576.762
Walhall-b;3579.0;3580.538
Walhall-b;3582.32;3584.278
Walhall-b;3586.078;3587.725
Walhall-b;3589.66;3591.458
Walhall-b;3650.807;3651.897
Walhall-b;3650.807;3654.8
