Motif;StartSec;EndSec
Horn;2418.8;2424.198
Horn;2427.351;2432.014
Horn;2444.325;2451.273
Horn;2539.9;2543.678
Horn;2539.9;2546.878
Horn;2567.01;2568.77
Horn;2714.82;2717.479
Horn;2738.06;2740.859
Horn;3919.355;3920.757
Horn;3921.92;3923.078
Horn;3924.334;3925.586
Horn;3926.944;3928.297
Horn;3929.6;3932.199
Horn;3933.498;3935.958
Horn;3937.253;3941.038
Horn;3944.88;3946.137
Horn;3947.49;3948.837
Horn;3950.03;3951.218
Horn;3952.55;3953.877
Horn;3955.21;3956.537
Horn;3957.81;3959.077
Horn;3960.42;3961.757
Horn;3963.15;3964.537
Horn;3965.95;3967.357
Horn;3968.69;3970.017
Horn;3971.64;3973.257
Jugendkraft;1423.866;1426.699
Jugendkraft;1427.4;1429.935
Jugendkraft;1639.2;1640.539
Jugendkraft;1639.2;1643.339
Mime;1702.72;1703.695
Mime;1704.02;1704.84
Mime;1704.02;1708.678
Mime;1711.05;1711.858
Mime;1712.66;1713.458
Mime;1788.98;1789.75
Mime;1788.98;1801.918
Nibelungen;1441.039;1442.518
Nibelungen;1751.43;1752.838
Nibelungen;1751.43;1753.915
Nibelungen;1893.11;1895.778
Nibelungen;1893.11;1903.419
Nibelungen;3245.12;3246.898
Nibelungen;3889.445;3891.377
Nibelungen;3894.52;3896.557
Nibelungen;3897.215;3897.87
Nibelungen;3917.95;3919.706
Nibelungen;3920.76;3922.21
Nibelungen;3923.08;3924.648
Nibelungen;3925.589;3927.283
Nibelungen;3928.3;3929.925
Nibelungen;3932.199;3933.496
Nibelungen;3935.96;3937.253
Nibelungen;3943.62;3945.195
Nibelungen;3946.14;3947.827
Nibelungen;3948.84;3950.327
Nibelungen;3951.22;3952.883
Nibelungen;3953.88;3955.543
Nibelungen;3956.54;3958.128
Nibelungen;3959.08;3960.755
Nibelungen;3961.76;3963.497
Nibelungen;3964.54;3966.303
Nibelungen;3967.36;3969.023
Nibelungen;3970.02;3972.045
Nibelungen;4052.36;4054.91
Nibelungen;4059.34;4061.655
Nibelungen;4197.805;4199.52
Nibelungen;4201.779;4203.5
Nibelungen;4205.905;4207.845
Nibelungenhass;226.6088;229.5364
Nibelungenhass;226.6088;262.5482
Nibelungenhass;314.2933;342.429
Nibelungenhass;456.1934;464.5076
Nibelungenhass;682.7925;691.3307
Nibelungenhass;717.1625;720.5488
Nibelungenhass;734.925;738.1756
Nibelungenhass;734.925;757.3525
Nibelungenhass;1354.4;1357.362
Nibelungenhass;2777.15;2779.955
Nibelungenhass;2780.904;2783.829
Nibelungenhass;2784.792;2787.612
Nibelungenhass;2788.549;2791.339
Nibelungenhass;2792.299;2795.359
Nibelungenhass;2796.342;2799.072
Nibelungenhass;2800.005;2802.945
Nibelungenhass;2803.912;2806.732
Nibelungenhass;2807.664;2810.409
Nibelungenhass;2811.367;2814.502
Nibelungenhass;2815.51;2818.315
Nibelungenhass;2850.549;2853.159
Nibelungenhass;2854.064;2856.989
Nibelungenhass;2857.887;2860.119
Nibelungenhass;2860.959;2864.051
Nibelungenhass;2865.007;2867.422
Nibelungenhass;2868.252;2870.892
Nibelungenhass;2871.825;2874.945
Nibelungenhass;2938.857;2941.902
Nibelungenhass;2938.857;2970.302
Riesen;2879.155;2883.79
Riesen;2890.76;2893.16
Riesen;2901.48;2903.33
Riesen;2901.48;2905.176
Ring;132.96;139.6946
Ring;251.0925;257.1137
Ring;257.4725;264.405
Ring;753.865;759.9725
Ring;753.865;765.5873
Ring;1141.52;1148.418
Ring;2905.18;2907.91
Ring;2908.82;2911.308
Ring;2912.137;2915.22
Ring;3301.16;3305.174
Ring;3301.16;3323.928
Ring;4023.92;4035.32
Ritt;361.8761;363.0682
Ritt;363.7027;364.9681
Ritt;365.5461;366.6983
Ritt;367.2794;368.4383
Ritt;369.0927;370.398
Ritt;370.9728;372.1183
Ritt;372.7261;373.9382
Ritt;374.5261;375.6982
Ritt;376.2794;377.4383
Ritt;378.0227;379.1882
Ritt;379.7827;380.9682
Ritt;381.5594;382.7382
Ritt;383.3827;384.6681
Ritt;385.2361;386.3683
Ritt;386.9095;387.9884
Ritt;388.5994;389.8182
Ritt;390.4061;391.5782
Ritt;392.1261;393.2184
Ritt;1280.076;1281.079
Ritt;1282.051;1282.994
Ritt;1283.914;1284.811
Ritt;1285.75;1286.73
Ritt;1287.7;1288.66
Ritt;1289.645;1290.655
Ritt;1291.63;1292.57
Ritt;1293.54;1294.54
Ritt;1295.57;1296.63
Ritt;1297.64;1298.6
Ritt;1299.545;1300.475
Ritt;1301.485;1302.575
Ritt;1303.6;1304.56
Ritt;1305.575;1306.645
Ritt;1307.725;1308.815
Ritt;1309.9;1310.98
Schwert;844.27;849.4975
Schwert;1137.74;1139.638
Schwert;1269.829;1272.67
Schwert;2204.733;2208.778
Schwert;2562.272;2565.357
Schwert;2703.113;2705.726
Schwert;2756.477;2759.294
Schwert;2933.404;2939.028
Schwert;3048.952;3052.598
Schwert;3368.027;3372.197
Siegfried;2473.911;2486.99
Siegfried;2496.563;2512.577
Siegfried;2829.175;2840.845
Siegfried;2829.175;2848.266
Siegfried;4407.205;4414.128
Unmuth;877.1325;885.5
Vertrag;611.12;616.0176
Vertrag;671.405;677.9825
Waberlohe;1442.52;1447.239
Waberlohe;1450.88;1456.397
Waberlohe;1458.9;1464.681
Waberlohe;1458.9;1469.73
Waberlohe;1661.96;1668.58
Waberlohe;4416.815;4428.246
Waldweben;1804.06;1812.798
Waldweben;1830.86;1883.718
Waldweben;1908.421;1928.078
Waldweben;1938.4;1953.658
Waldweben;2068.76;2129.757
