Motif;StartSec;EndSec
Feuerzauber;170.08;172.0181
Feuerzauber;174.14;176.0781
Feuerzauber;1460.403;1463.297
Feuerzauber;1465.82;1468.697
Feuerzauber;4107.72;4114.478
Feuerzauber;4116.82;4122.61
Feuerzauber;4126.02;4132.898
Feuerzauber;4135.19;4140.85
Feuerzauber;4195.443;4201.29
Feuerzauber;4208.94;4214.67
Horn;230.05;232.4845
Horn;230.05;236.448
Horn;287.6;293.9377
Horn;576.63;580.775
Horn;576.63;584.847
Horn;585.545;611.1361
Horn;653.86;658.7373
Horn;653.86;661.2708
Horn;668.71;670.9833
Horn;668.71;676.0977
Horn;685.93;688.0967
Horn;690.7221;692.8159
Horn;690.7221;702.3178
Horn;706.71;710.8061
Horn;1946.104;1949.563
Horn;1957.14;1959.258
Horn;1961.84;1964.033
Horn;1970.3;1972.595
Horn;1978.66;1980.836
Horn;2042.45;2044.795
Horn;2051.232;2053.38
Horn;2252.717;2254.576
Horn;2287.64;2289.496
Horn;4195.443;4202.478
Horn;4208.94;4215.838
Horn;4226.86;4238.495
Nibelungen;1010.105;1012.037
Nibelungen;1012.675;1014.577
Nibelungen;1015.22;1017.137
Nibelungen;1015.22;1019.628
Nibelungen;1022.28;1027.337
Nibelungen;1038.88;1043.477
Nibelungen;1052.015;1053.977
Nibelungen;1054.595;1056.438
Nibelungen;1057.195;1059.457
Nibelungen;1092.385;1093.817
Nibelungen;1092.385;1096.797
Nibelungen;1790.233;1792.178
Nibelungenhass;1968.0;1973.085
Nibelungenhass;1968.0;1981.387
Nibelungenhass;4701.238;4713.206
Nibelungenhass;4746.46;4750.159
Ring;44.742;46.98825
Ring;296.39;301.1178
Ring;296.39;310.9074
Ring;715.39;719.0682
Ring;1781.4;1786.638
Ring;2244.362;2251.786
Ring;2257.03;2260.781
Ring;2278.8;2286.71
Ring;2291.725;2295.649
Ring;2490.42;2501.757
Ring;2508.64;2513.61
Ring;2520.32;2526.198
Ring;2527.085;2530.525
Ring;3546.87;3553.31
Ring;3546.87;3561.636
Ring;3775.44;3779.58
Ring;3810.58;3812.538
Ring;3810.58;3814.528
Ring;3842.27;3849.798
Ring;4538.56;4540.278
Ring;4565.78;4567.22
Ring;4569.56;4570.985
Ritt;836.225;837.595
Ritt;839.538;840.7934
Ritt;866.2425;867.6275
Ritt;882.64;883.9
Ritt;2592.443;2593.385
Ritt;2595.234;2596.157
Ritt;2613.433;2615.027
Ritt;2621.034;2622.463
Ritt;2623.183;2624.618
Ritt;2642.68;2644.513
Ritt;2642.68;2653.458
Ritt;2678.019;2678.728
Ritt;2679.802;2680.338
Ritt;2681.572;2682.188
Ritt;3626.01;3627.718
Ritt;3626.01;3633.563
Schicksal;3328.92;3337.586
Schwert;229.8392;231.5113
Schwert;232.2441;233.6866
Schwert;287.6;288.9956
Schwert;332.14;334.2878
Schwert;475.9275;479.8077
Schwert;706.3459;708.7879
Schwert;996.0157;1000.925
Schwert;1595.812;1598.005
Schwert;4769.422;4773.903
Schwert;4805.467;4809.039
Siegfried;790.2328;800.9166
Siegfried;810.2438;819.02
Siegfried;857.67;867.6275
Siegfried;2056.514;2076.215
Siegfried;2262.515;2271.696
Siegfried;2297.914;2307.176
Siegfried;2875.283;2888.577
Siegfried;4188.38;4193.368
Siegfried;4221.825;4229.168
Unmuth;3009.335;3018.45
Unmuth;3026.48;3035.082
Unmuth;3073.689;3078.642
Unmuth;3090.178;3095.21
Unmuth;3107.198;3111.056
Unmuth;3112.31;3114.967
Unmuth;3468.958;3474.89
Unmuth;3489.477;3492.601
Unmuth;3493.433;3496.342
Unmuth;3607.283;3612.705
Unmuth;3617.05;3622.2
Unmuth;3656.838;3663.833
Unmuth;3664.144;3669.89
Unmuth;3664.144;3674.996
Vertrag;1605.38;1610.296
Vertrag;1634.162;1638.638
Vertrag;1655.44;1662.73
Vertrag;1702.86;1709.838
Vertrag;1729.888;1735.058
Vertrag;2268.376;2276.455
Vertrag;2303.985;2313.337
Vertrag;3146.04;3153.936
Vertrag;4769.66;4773.903
Walhall-b;2184.887;2194.423
Walhall-b;3133.11;3135.281
Walhall-b;3141.42;3149.33
Walhall-b;3153.94;3156.14
Walhall-b;3163.06;3171.177
Walhall-b;3194.958;3196.837
Walhall-b;3202.931;3210.839
