Motif;StartMeasure;EndMeasure
Horn;123;123.999
Horn;124;125.999
Horn;236;237.75
Horn;250;250.999
Horn;251;251.999
Horn;252;252.999
Horn;253;253.999
Horn;344.333;345.999
Horn;346.333;347.999
Horn;348.333;349.999
Horn;350;351.999
Horn;549;550.999
Horn;553;554.999
Horn;555;558.999
Horn;1406;1406.5
Horn;1615.5;1616.999
Liebe;1229.5;1232.25
Mannen;437;438.999
Mannen;439;439.999
Mannen;440;440.999
Mannen;441;442.999
Mannen;443;443.999
Mannen;444;444.999
Mannen;445;445.999
Mannen;446;446.999
Mannen;447;447.999
Mannen;448;448.999
Mannen;449;449.999
Mannen;450;450.999
Mannen;451;451.999
Mannen;452;452.999
Mannen;453;453.999
Mannen;454;454.999
Mannen;455;455.999
Mannen;456;457.999
Mannen;458;459.999
Mannen;460;460.999
Mannen;461;461.999
Mannen;462;462.999
Mannen;463;463.999
Mannen;465;465.999
Mannen;467;467.999
Mannen;468;468.999
Mannen;469;469.999
Mannen;516;517.999
Mannen;518;518.999
Mannen;519;519.999
Mannen;520;520.999
Mannen;521;521.999
Mannen;522;523.999
Mannen;527;528.999
Mannen;529;530.999
Mannen;531;531.999
Mannen;532;532.999
Mannen;533;533.999
Mannen;534;534.999
Mannen;535;535.999
Mannen;536;536.999
Mannen;560;560.999
Mannen;561;561.999
Mannen;562;562.999
Mannen;563;563.999
Mannen;564;565.999
Mannen;566;566.999
Mannen;567;567.999
Mannen;577;578.999
Mannen;579;580.999
Mannen;589;589.999
Mannen;591;591.999
Mannen;601;602.999
Mannen;603;604.999
Mannen;605.333;606.666
Mannen;616;617.999
Mannen;680;681.999
Mannen;682;683.999
Mannen;687;688.999
Mannen;689;690.999
Mannen;691;691.999
Mannen;692;692.999
Mannen;693;693.999
Mannen;694;694.999
Mannen;695;695.999
Mannen;696;697.999
Mannen;698.5;699.999
Mannen;1010;1010.999
Mannen;1011;1011.999
Mannen;1012;1012.5
Mannen;1012.5;1012.999
Mannen;1013;1013.5
Mannen;1013.5;1013.999
Mannen;1014;1014.5
Mannen;1015;1015.5
Mannen;1016;1016.5
Mannen;1017;1017.5
Mannen;1030;1030.5
Mannen;1031;1031.5
Mannen;1091;1091.5
Mannen;1091.5;1091.999
Mannen;1092;1092.498
Mannen;1092.5;1092.997
Nibelungenhass;1;2.063
Nibelungenhass;1.938;3.063
Nibelungenhass;5.938;6.999
Nibelungenhass;12.875;14.063
Nibelungenhass;13.938;15.063
Nibelungenhass;14.938;16.063
Nibelungenhass;15.938;17.063
Nibelungenhass;16.938;18.063
Nibelungenhass;17.938;19.063
Nibelungenhass;18.938;20.063
Nibelungenhass;19.938;21.063
Nibelungenhass;20.938;22.063
Nibelungenhass;21.938;23.063
Nibelungenhass;22.938;24.063
Nibelungenhass;23.938;25.063
Nibelungenhass;24.938;26.063
Nibelungenhass;25.938;27.063
Nibelungenhass;26.938;27.999
Nibelungenhass;43.083;43.916
Nibelungenhass;44.083;44.916
Nibelungenhass;45.083;45.916
Nibelungenhass;46.083;46.999
Nibelungenhass;48;49.063
Nibelungenhass;48.938;49.999
Nibelungenhass;60;60.999
