Version,Act,Motif,StartSec,EndSec
P-Ba,A,Nibelungen,3307.6,3309.698
P-Ba,A,Nibelungen,3309.7,3311.698
P-Ba,A,Nibelungen,4239.3,4240.898
P-Ba,A,Nibelungen,4240.9,4242.698
P-Ba,A,Nibelungen,4242.7,4244.598
P-Ba,A,Nibelungen,4244.6,4246.398
P-Ba,A,Nibelungen,4246.4,4248.198
P-Ba,A,Nibelungen,4248.2,4249.998
P-Ba,A,Nibelungen,4251.7,4253.498
P-Ba,A,Nibelungen,4253.5,4255.298
P-Ba,A,Nibelungen,4255.3,4257.098
P-Ba,A,Nibelungen,4257.1,4258.798
P-Ba,A,Nibelungen,4258.8,4260.498
P-Ba,A,Nibelungen,4260.5,4262.398
P-Ba,A,Nibelungen,4262.4,4264.098
P-Ba,A,Nibelungen,4264.1,4265.812
P-Ba,A,Nibelungen,4265.813,4267.598
P-Ba,A,Nibelungen,4267.6,4269.31
P-Ba,A,Nibelungen,4269.312,4271.017
P-Ba,A,Nibelungen,4271.019,4272.798
P-Ba,A,Nibelungen,4272.8,4274.498
P-Ba,A,Nibelungen,4274.5,4276.298
P-Ba,A,Nibelungen,4276.3,4277.998
P-Ba,A,Nibelungen,4278.0,4279.698
P-Ba,A,Nibelungen,4279.7,4281.398
P-Ba,A,Nibelungen,4281.4,4283.198
P-Ba,A,Nibelungen,4283.2,4284.898
P-Ba,A,Nibelungen,4284.9,4286.598
P-Ba,A,Nibelungen,4286.6,4288.298
P-Ba,A,Nibelungen,4288.3,4289.898
P-Ba,A,Nibelungen,4289.9,4291.598
P-Ba,A,Nibelungen,4291.6,4293.298
P-Ba,A,Nibelungen,4293.3,4294.898
P-Ba,A,Nibelungen,4294.9,4296.498
P-Ba,A,Nibelungen,4296.5,4298.198
P-Ba,A,Nibelungen,4298.2,4299.798
P-Ba,A,Nibelungen,4299.8,4301.398
P-Ba,A,Nibelungen,4301.4,4303.098
P-Ba,A,Nibelungen,4480.8,4482.598
P-Ba,A,Nibelungen,4482.6,4484.198
P-Ba,A,Nibelungen,4485.9,4487.529
P-Ba,A,Nibelungen,4487.531,4489.098
P-Ba,A,Nibelungen,4489.1,4490.708
P-Ba,A,Nibelungen,4490.709,4492.298
P-Ba,A,Nibelungen,4492.3,4493.898
P-Ba,A,Nibelungen,4493.9,4495.498
P-Ba,A,Nibelungen,4495.5,4497.098
P-Ba,A,Nibelungen,4497.1,4498.698
P-Ba,A,Nibelungen,4498.7,4500.298
P-Ba,A,Nibelungen,4500.3,4501.898
P-Ba,A,Nibelungen,4501.9,4503.498
P-Ba,A,Nibelungen,4503.5,4505.198
P-Ba,A,Nibelungen,4505.2,4506.798
P-Ba,A,Nibelungen,4506.8,4508.35
P-Ba,A,Nibelungen,4508.352,4510.098
P-Ba,A,Nibelungen,4510.1,4511.798
P-Ba,A,Nibelungen,4511.8,4513.498
P-Ba,A,Nibelungen,4513.5,4515.298
P-Ba,A,Nibelungen,4522.5,4524.598
P-Ba,A,Nibelungen,4524.6,4526.498
P-Ba,A,Nibelungen,4526.5,4528.398
P-Ba,A,Nibelungen,4603.6,4605.398
P-Ba,A,Nibelungen,4605.4,4607.098
P-Ba,A,Nibelungen,4607.1,4608.698
P-Ba,A,Nibelungen,4608.7,4610.298
P-Ba,A,Nibelungen,4610.3,4611.998
P-Ba,A,Nibelungen,4612.0,4613.598
P-Ba,A,Nibelungen,4613.6,4615.198
P-Ba,A,Nibelungen,4615.2,4616.898
P-Ba,A,Nibelungen,4616.9,4618.398
P-Ba,A,Nibelungen,4618.4,4619.898
P-Ba,A,Nibelungen,4619.9,4621.598
P-Ba,A,Nibelungen,4621.6,4623.298
P-Ba,A,Nibelungen,4623.3,4624.898
P-Ba,A,Nibelungen,4624.9,4626.398
P-Ba,A,Nibelungen,4626.4,4628.098
P-Ba,A,Nibelungen,4628.1,4629.599
P-Ba,A,Nibelungen,4629.6,4631.099
P-Ba,A,Nibelungen,4631.1,4632.499
P-Ba,A,Nibelungen,4632.5,4633.899
P-Ba,A,Nibelungen,4633.9,4635.299
P-Ba,A,Nibelungen,4635.3,4636.599
P-Ba,A,Nibelungen,4636.6,4637.999
P-Ba,A,Nibelungen,4638.0,4639.299
P-Ba,A,Nibelungen,4639.3,4640.798
P-Ba,A,Nibelungen,4640.8,4642.199
P-Ba,A,Nibelungen,4642.2,4643.499
P-Ba,A,Nibelungen,4643.5,4644.899
P-Ba,A,Nibelungen,4644.9,4646.199
P-Ba,A,Nibelungen,4646.2,4647.698
P-Ba,A,Nibelungen,4647.7,4648.999
P-Ba,A,Nibelungen,4649.0,4650.399
P-Ba,A,Nibelungen,4650.4,4651.699
P-Ba,A,Nibelungen,4651.7,4652.999
P-Ba,A,Nibelungen,4653.0,4654.299
P-Ba,A,Nibelungen,4654.3,4655.599
P-Ba,A,Nibelungen,4655.6,4656.899
P-Ba,A,Nibelungen,4656.9,4658.099
P-Ba,A,Nibelungen,4658.1,4659.399
P-Ba,A,Nibelungen,4659.4,4660.699
P-Ba,A,Nibelungen,4660.7,4662.099
P-Ba,A,Nibelungen,4662.1,4663.299
P-Ba,A,Nibelungen,4679.8,4681.266
P-Ba,A,Nibelungen,4685.975,4687.382
P-Ba,A,Nibelungen,4692.2,4694.6
P-Ba,A,Nibelungen,4709.65,4711.699
P-Ba,A,Nibelungen,4803.5,4804.699
P-Ba,A,Nibelungen,4804.7,4805.799
P-Ba,A,Nibelungen,4805.8,4806.899
P-Ba,A,Nibelungen,4806.9,4808.099
P-Ba,A,Nibelungen,4819.499,4820.699
P-Ba,A,Nibelungen,4820.7,4821.899
P-Ba,A,Nibelungen,4821.9,4822.999
P-Ba,A,Nibelungen,4823.0,4824.199
P-Ba,A,Nibelungen,4824.2,4825.199
P-Ba,A,Nibelungen,4825.2,4826.399
P-Ba,A,Nibelungen,4826.4,4827.599
P-Ba,A,Nibelungen,4827.6,4828.799
P-Ba,A,Nibelungen,4828.8,4829.899
P-Ba,A,Nibelungen,4829.9,4831.099
P-Ba,A,Nibelungen,4831.1,4832.299
P-Ba,A,Nibelungen,4832.3,4833.499
P-Ba,A,Nibelungen,4833.5,4834.699
P-Ba,A,Nibelungen,4834.7,4835.799
P-Ba,A,Nibelungen,4835.8,4836.899
P-Ba,A,Nibelungen,4836.9,4838.099
P-Ba,A,Nibelungen,4838.1,4839.299
P-Ba,A,Nibelungen,4839.3,4840.399
P-Ba,A,Nibelungen,4933.611,4934.847
P-Ba,A,Nibelungen,4934.848,4936.199
P-Ba,A,Nibelungen,4936.2,4937.698
P-Ba,A,Nibelungen,4937.7,4939.099
P-Ba,A,Nibelungen,4939.1,4940.599
P-Ba,A,Nibelungen,4940.6,4942.198
P-Ba,A,Nibelungen,4942.2,4943.798
P-Ba,A,Nibelungen,4943.8,4946.088
P-Ba,A,Nibelungen,5319.94,5322.85
P-Ba,A,Nibelungen,5323.132,5325.95
P-Ba,A,Nibelungen,5326.199,5329.1
P-Ba,A,Nibelungen,5329.366,5332.3
P-Ba,A,Nibelungen,5354.532,5357.5
P-Ba,A,Nibelungen,5357.732,5360.6
P-Ba,A,Nibelungen,5360.866,5363.8
P-Ba,A,Nibelungen,5364.066,5366.298
P-Ba,A,Nibelungen,5498.5,5499.799
P-Ba,A,Nibelungen,5499.8,5501.204
P-Ba,A,Nibelungen,5763.9,5765.865
P-Ba,A,Nibelungen,5765.867,5767.698
P-Ba,A,Nibelungen,5767.7,5769.498
P-Ba,A,Nibelungen,5769.5,5771.298
P-Ba,A,Nibelungen,5771.3,5773.098
P-Ba,A,Nibelungen,5773.1,5774.898
P-Ba,A,Nibelungen,5774.9,5776.598
P-Ba,A,Nibelungen,5776.6,5778.398
P-Ba,A,Nibelungen,5778.4,5780.098
P-Ba,A,Nibelungen,5780.1,5781.898
P-Ba,A,Nibelungen,5781.9,5783.498
P-Ba,A,Nibelungen,5783.5,5785.198
P-Ba,A,Nibelungen,5785.2,5786.898
P-Ba,A,Nibelungen,5786.9,5788.606
P-Ba,A,Nibelungen,5788.608,5790.298
P-Ba,A,Nibelungen,5790.3,5791.998
P-Ba,A,Nibelungen,5792.0,5793.798
P-Ba,A,Nibelungen,5793.8,5795.398
P-Ba,A,Nibelungen,5795.4,5797.098
P-Ba,A,Nibelungen,5797.1,5798.698
P-Ba,A,Nibelungen,6143.9,6145.798
P-Ba,A,Nibelungen,6145.8,6147.898
P-Ba,A,Nibelungen,6147.9,6149.898
P-Ba,A,Nibelungen,6149.9,6151.898
P-Ba,A,Nibelungen,6151.9,6154.098
P-Ba,A,Nibelungen,6154.1,6156.098
P-Ba,A,Nibelungen,6156.1,6158.098
