Version,Act,Motif,StartSec,EndSec
P-Fu,A,Nibelungen,3518.32,3520.937
P-Fu,A,Nibelungen,3520.94,3523.378
P-Fu,A,Nibelungen,4472.2,4473.978
P-Fu,A,Nibelungen,4473.98,4475.778
P-Fu,A,Nibelungen,4475.78,4477.698
P-Fu,A,Nibelungen,4477.7,4479.478
P-Fu,A,Nibelungen,4479.48,4481.258
P-Fu,A,Nibelungen,4481.26,4482.978
P-Fu,A,Nibelungen,4484.7,4486.498
P-Fu,A,Nibelungen,4486.5,4488.318
P-Fu,A,Nibelungen,4488.32,4490.178
P-Fu,A,Nibelungen,4490.18,4491.778
P-Fu,A,Nibelungen,4491.78,4493.529
P-Fu,A,Nibelungen,4493.53,4495.578
P-Fu,A,Nibelungen,4495.58,4497.318
P-Fu,A,Nibelungen,4497.32,4499.132
P-Fu,A,Nibelungen,4499.133,4501.098
P-Fu,A,Nibelungen,4501.1,4502.87
P-Fu,A,Nibelungen,4502.872,4504.577
P-Fu,A,Nibelungen,4504.579,4506.358
P-Fu,A,Nibelungen,4506.36,4508.058
P-Fu,A,Nibelungen,4508.06,4509.818
P-Fu,A,Nibelungen,4509.82,4511.518
P-Fu,A,Nibelungen,4511.52,4513.218
P-Fu,A,Nibelungen,4513.22,4514.918
P-Fu,A,Nibelungen,4514.92,4516.678
P-Fu,A,Nibelungen,4516.68,4518.104
P-Fu,A,Nibelungen,4518.105,4519.838
P-Fu,A,Nibelungen,4519.84,4521.518
P-Fu,A,Nibelungen,4521.52,4523.298
P-Fu,A,Nibelungen,4523.3,4525.178
P-Fu,A,Nibelungen,4525.18,4526.898
P-Fu,A,Nibelungen,4526.9,4528.688
P-Fu,A,Nibelungen,4528.69,4530.458
P-Fu,A,Nibelungen,4530.46,4532.242
P-Fu,A,Nibelungen,4532.244,4533.958
P-Fu,A,Nibelungen,4533.96,4535.658
P-Fu,A,Nibelungen,4535.66,4537.303
P-Fu,A,Nibelungen,4718.8,4720.818
P-Fu,A,Nibelungen,4720.82,4722.658
P-Fu,A,Nibelungen,4724.57,4726.469
P-Fu,A,Nibelungen,4726.471,4728.378
P-Fu,A,Nibelungen,4728.38,4730.318
P-Fu,A,Nibelungen,4730.32,4732.178
P-Fu,A,Nibelungen,4732.18,4734.098
P-Fu,A,Nibelungen,4734.1,4735.968
P-Fu,A,Nibelungen,4735.97,4737.898
P-Fu,A,Nibelungen,4737.9,4739.818
P-Fu,A,Nibelungen,4739.82,4741.698
P-Fu,A,Nibelungen,4741.7,4743.718
P-Fu,A,Nibelungen,4743.72,4745.638
P-Fu,A,Nibelungen,4745.64,4747.538
P-Fu,A,Nibelungen,4747.54,4749.478
P-Fu,A,Nibelungen,4749.48,4751.49
P-Fu,A,Nibelungen,4751.492,4753.438
P-Fu,A,Nibelungen,4753.44,4755.458
P-Fu,A,Nibelungen,4755.46,4757.618
P-Fu,A,Nibelungen,4757.62,4759.478
P-Fu,A,Nibelungen,4767.22,4769.418
P-Fu,A,Nibelungen,4769.42,4771.301
P-Fu,A,Nibelungen,4771.303,4773.275
P-Fu,A,Nibelungen,4844.72,4846.438
P-Fu,A,Nibelungen,4846.44,4848.198
P-Fu,A,Nibelungen,4848.2,4850.018
P-Fu,A,Nibelungen,4850.02,4851.638
P-Fu,A,Nibelungen,4851.64,4853.438
P-Fu,A,Nibelungen,4853.44,4855.102
P-Fu,A,Nibelungen,4855.104,4856.758
P-Fu,A,Nibelungen,4856.76,4858.338
P-Fu,A,Nibelungen,4858.34,4860.298
P-Fu,A,Nibelungen,4860.3,4861.878
P-Fu,A,Nibelungen,4861.88,4863.558
P-Fu,A,Nibelungen,4863.56,4865.258
P-Fu,A,Nibelungen,4865.26,4866.978
P-Fu,A,Nibelungen,4866.98,4868.638
P-Fu,A,Nibelungen,4868.64,4870.139
P-Fu,A,Nibelungen,4870.14,4871.658
P-Fu,A,Nibelungen,4871.66,4873.178
P-Fu,A,Nibelungen,4873.18,4874.608
P-Fu,A,Nibelungen,4874.61,4876.019
P-Fu,A,Nibelungen,4876.02,4877.319
P-Fu,A,Nibelungen,4877.32,4878.459
P-Fu,A,Nibelungen,4878.46,4879.699
P-Fu,A,Nibelungen,4879.7,4880.759
P-Fu,A,Nibelungen,4880.76,4882.059
P-Fu,A,Nibelungen,4882.06,4883.259
P-Fu,A,Nibelungen,4883.26,4884.579
P-Fu,A,Nibelungen,4884.58,4885.739
P-Fu,A,Nibelungen,4885.74,4887.01
P-Fu,A,Nibelungen,4887.012,4888.099
P-Fu,A,Nibelungen,4888.1,4889.379
P-Fu,A,Nibelungen,4889.38,4890.579
P-Fu,A,Nibelungen,4890.58,4891.959
P-Fu,A,Nibelungen,4891.96,4893.159
P-Fu,A,Nibelungen,4893.16,4894.419
P-Fu,A,Nibelungen,4894.42,4895.619
P-Fu,A,Nibelungen,4895.62,4896.839
P-Fu,A,Nibelungen,4896.84,4898.039
P-Fu,A,Nibelungen,4898.04,4899.379
P-Fu,A,Nibelungen,4899.38,4900.639
P-Fu,A,Nibelungen,4900.64,4901.819
P-Fu,A,Nibelungen,4901.82,4903.099
P-Fu,A,Nibelungen,4918.28,4919.623
P-Fu,A,Nibelungen,4924.005,4925.335
P-Fu,A,Nibelungen,4929.55,4931.815
P-Fu,A,Nibelungen,4945.56,4947.599
P-Fu,A,Nibelungen,5039.87,5041.339
P-Fu,A,Nibelungen,5041.34,5042.619
P-Fu,A,Nibelungen,5042.62,5043.879
P-Fu,A,Nibelungen,5043.88,5045.059
P-Fu,A,Nibelungen,5057.879,5059.339
P-Fu,A,Nibelungen,5059.34,5060.799
P-Fu,A,Nibelungen,5060.8,5061.979
P-Fu,A,Nibelungen,5061.98,5063.459
P-Fu,A,Nibelungen,5063.46,5064.649
P-Fu,A,Nibelungen,5064.65,5066.039
P-Fu,A,Nibelungen,5066.04,5067.319
P-Fu,A,Nibelungen,5067.32,5068.659
P-Fu,A,Nibelungen,5068.66,5069.929
P-Fu,A,Nibelungen,5069.93,5071.339
P-Fu,A,Nibelungen,5071.34,5072.639
P-Fu,A,Nibelungen,5072.64,5074.019
P-Fu,A,Nibelungen,5074.02,5075.399
P-Fu,A,Nibelungen,5075.4,5076.619
P-Fu,A,Nibelungen,5076.62,5077.939
P-Fu,A,Nibelungen,5077.94,5079.199
P-Fu,A,Nibelungen,5079.2,5080.539
P-Fu,A,Nibelungen,5080.54,5081.759
P-Fu,A,Nibelungen,5184.451,5185.839
P-Fu,A,Nibelungen,5185.84,5187.338
P-Fu,A,Nibelungen,5187.34,5188.759
P-Fu,A,Nibelungen,5188.76,5190.258
P-Fu,A,Nibelungen,5190.26,5191.798
P-Fu,A,Nibelungen,5191.8,5193.718
P-Fu,A,Nibelungen,5193.72,5195.398
P-Fu,A,Nibelungen,5195.4,5197.018
P-Fu,A,Nibelungen,5614.632,5617.61
P-Fu,A,Nibelungen,5617.879,5620.71
P-Fu,A,Nibelungen,5620.939,5623.74
P-Fu,A,Nibelungen,5624.006,5627.13
P-Fu,A,Nibelungen,5650.699,5653.55
P-Fu,A,Nibelungen,5653.812,5656.84
P-Fu,A,Nibelungen,5657.132,5660.0
P-Fu,A,Nibelungen,5660.232,5662.478
P-Fu,A,Nibelungen,5787.957,5789.678
P-Fu,A,Nibelungen,5789.68,5791.278
P-Fu,A,Nibelungen,6040.86,6043.238
P-Fu,A,Nibelungen,6043.24,6045.138
P-Fu,A,Nibelungen,6045.14,6047.218
P-Fu,A,Nibelungen,6047.22,6049.398
P-Fu,A,Nibelungen,6049.4,6051.078
P-Fu,A,Nibelungen,6051.08,6053.498
P-Fu,A,Nibelungen,6053.5,6055.378
P-Fu,A,Nibelungen,6055.38,6059.696
P-Fu,A,Nibelungen,6059.7,6061.658
P-Fu,A,Nibelungen,6061.66,6064.307
P-Fu,A,Nibelungen,6064.31,6065.579
P-Fu,A,Nibelungen,6065.58,6067.178
P-Fu,A,Nibelungen,6067.18,6068.938
P-Fu,A,Nibelungen,6068.94,6070.319
P-Fu,A,Nibelungen,6070.32,6071.779
P-Fu,A,Nibelungen,6071.78,6073.418
P-Fu,A,Nibelungen,6073.42,6075.198
P-Fu,A,Nibelungen,6075.2,6077.258
P-Fu,A,Nibelungen,6077.26,6079.318
P-Fu,A,Nibelungen,6079.32,6081.278
P-Fu,A,Nibelungen,6441.64,6444.018
P-Fu,A,Nibelungen,6444.02,6447.097
P-Fu,A,Nibelungen,6447.1,6449.937
P-Fu,A,Nibelungen,6449.94,6452.178
P-Fu,A,Nibelungen,6452.18,6454.797
P-Fu,A,Nibelungen,6454.8,6457.637
P-Fu,A,Nibelungen,6457.64,6460.237
P-Fu,A,Nibelungen,6460.24,6462.937
P-Fu,A,Nibelungen,6462.94,6465.697
P-Fu,A,Nibelungen,6473.62,6476.157
P-Fu,A,Nibelungen,6476.16,6478.438
P-Fu,A,Nibelungen,6478.44,6481.377
P-Fu,A,Nibelungen,6481.38,6483.838
P-Fu,A,Nibelungen,6483.84,6486.038
P-Fu,A,Nibelungen,6486.04,6488.917
P-Fu,A,Nibelungen,6488.92,6491.238
P-Fu,A,Nibelungen,6491.24,6493.618
P-Fu,A,Nibelungen,6493.62,6495.978
P-Fu,A,Nibelungen,6495.98,6498.458
P-Fu,A,Nibelungen,6498.46,6500.698
P-Fu,A,Nibelungen,6500.7,6503.078
P-Fu,A,Nibelungen,6503.08,6505.617
P-Fu,A,Nibelungen,6505.62,6508.137
P-Fu,A,Nibelungen,6508.14,6510.478
P-Fu,A,Nibelungen,6510.48,6512.898
P-Fu,A,Nibelungen,6512.9,6515.497
P-Fu,A,Nibelungen,6515.5,6517.658
P-Fu,A,Nibelungen,6517.66,6519.918
P-Fu,A,Nibelungen,6519.92,6522.437
P-Fu,A,Nibelungen,6522.44,6524.638
P-Fu,A,Nibelungen,6524.64,6526.978
P-Fu,A,Nibelungen,6526.98,6529.198
P-Fu,A,Nibelungen,6529.2,6531.538
P-Fu,A,Nibelungen,6531.54,6533.858
P-Fu,A,Nibelungen,6533.86,6536.178
P-Fu,A,Nibelungen,6536.18,6538.578
P-Fu,A,Nibelungen,6538.58,6540.758
P-Fu,A,Nibelungen,6540.76,6543.075
P-Fu,A,Nibelungen,6543.077,6545.418
P-Fu,A,Nibelungen,6545.42,6547.678
P-Fu,A,Nibelungen,6547.68,6550.058
P-Fu,A,Nibelungen,6555.22,6557.658
P-Fu,A,Nibelungen,6557.66,6559.958
P-Fu,A,Nibelungen,6559.96,6562.477
P-Fu,A,Nibelungen,6562.48,6564.851
P-Fu,A,Nibelungen,6564.853,6567.385
P-Fu,A,Nibelungen,6567.388,6569.891
P-Fu,A,Nibelungen,6569.893,6572.178
P-Fu,A,Nibelungen,6572.18,6574.518
P-Fu,A,Nibelungen,6574.52,6577.297
P-Fu,A,Nibelungen,6577.3,6579.897
P-Fu,A,Nibelungen,6579.9,6581.958
P-Fu,A,Nibelungen,7544.405,7546.76
P-Fu,A,Nibelungen,7549.052,7551.305
P-Fu,A,Nibelungen,7553.542,7555.823
P-Fu,A,Nibelungen,7556.965,7559.198
P-Fu,A,Nibelungen,7559.2,7561.543
P-Fu,A,Nibelungen,7561.545,7563.68
P-Fu,A,Nibelungen,7568.62,7570.818
P-Fu,A,Nibelungen,7573.155,7575.458
P-Fu,A,Nibelungen,7575.46,7577.878
P-Fu,A,Nibelungen,7577.88,7580.497
P-Fu,A,Nibelungen,7580.5,7582.678
P-Fu,A,Nibelungen,7582.68,7584.978
P-Fu,A,Nibelungen,7584.98,7587.358
P-Fu,A,Nibelungen,7587.36,7589.443
P-Fu,A,Nibelungen,7589.445,7590.782
P-Fu,A,Nibelungen,7618.54,7621.018
P-Fu,A,Nibelungen,7621.02,7623.338
P-Fu,A,Nibelungen,7656.84,7659.258
P-Fu,A,Nibelungen,7659.26,7661.957
P-Fu,A,Nibelungen,7661.96,7664.438
P-Fu,A,Nibelungen,7664.44,7667.429
P-Fu,A,Nibelungen,7755.1,7757.578
P-Fu,A,Nibelungen,7757.58,7759.818
P-Fu,A,Nibelungen,8305.308,8306.773
P-Fu,A,Nibelungen,8308.098,8309.417
P-Fu,A,Nibelungen,8310.64,8311.858
P-Fu,A,Nibelungen,8313.163,8314.464
P-Fu,A,Nibelungen,8318.44,8319.777
P-Fu,A,Nibelungen,8321.04,8322.297
P-Fu,A,Nibelungenhass,6949.425,6952.309
P-Fu,A,Nibelungenhass,6955.655,6958.642
P-Fu,A,Nibelungenhass,6962.065,6964.929
P-Fu,A,Nibelungenhass,6965.052,6967.736
P-Fu,A,Nibelungenhass,6967.852,6971.032
P-Fu,A,Nibelungenhass,6971.175,6974.266
P-Fu,A,Nibelungenhass,7028.434,7031.089
P-Fu,A,Nibelungenhass,7031.207,7034.059
P-Fu,A,Nibelungenhass,7034.185,7037.176
P-Fu,A,Nibelungenhass,7037.307,7040.049
P-Fu,A,Nibelungenhass,7040.168,7043.069
P-Fu,A,Nibelungenhass,7043.198,7045.579
P-Fu,A,Nibelungenhass,7045.68,7048.262
P-Fu,A,Nibelungenhass,7048.378,7051.036
P-Fu,A,Nibelungenhass,7051.153,7053.849
P-Fu,A,Nibelungenhass,7053.967,7056.619
P-Fu,A,Nibelungenhass,7056.735,7059.301
P-Fu,A,Nibelungenhass,7059.413,7061.957
P-Fu,A,Nibelungenhass,7270.669,7273.845
P-Fu,A,Nibelungenhass,7273.72,7276.793
P-Fu,A,Nibelungenhass,7276.672,7279.532
P-Fu,A,Nibelungenhass,7279.42,7282.306
P-Fu,A,Nibelungenhass,8018.625,8022.079
P-Fu,A,Nibelungenhass,8022.225,8025.825
P-Fu,A,Nibelungenhass,8025.985,8029.692
P-Fu,A,Nibelungenhass,8341.698,8343.31
P-Fu,A,Nibelungenhass,8342.997,8344.558
P-Fu,A,Nibelungenhass,8344.247,8345.91
P-Fu,A,Nibelungenhass,8345.573,8347.257
P-Fu,A,Nibelungenhass,8437.607,8440.943
P-Fu,A,Nibelungenhass,8441.088,8443.802
P-Fu,A,Nibelungenhass,8443.917,8446.609
P-Fu,A,Nibelungenhass,8446.728,8449.34
P-Fu,A,Nibelungenhass,8449.454,8451.067
P-Fu,A,Nibelungenhass,8450.748,8452.337
P-Fu,A,Nibelungenhass,8452.022,8453.79
P-Fu,A,Nibelungenhass,8453.427,8455.237
P-Fu,A,Nibelungenhass,8454.878,8456.77
P-Fu,A,Nibelungenhass,8456.387,8458.297
P-Fu,A,Nibelungenhass,8457.917,8459.78
P-Fu,A,Nibelungenhass,8459.41,8461.257
P-Fu,A,Riesen,1921.24,1922.328
P-Fu,A,Riesen,2199.92,2201.67
P-Fu,A,Riesen,2201.92,2203.405
P-Fu,A,Riesen,2252.24,2253.56
P-Fu,A,Riesen,2254.0,2255.11
P-Fu,A,Riesen,2255.48,2256.747
P-Fu,A,Riesen,2257.17,2258.468
P-Fu,A,Riesen,2258.9,2260.055
P-Fu,A,Riesen,2292.02,2306.515
P-Fu,A,Riesen,2306.52,2318.35
P-Fu,A,Riesen,2315.96,2325.555
P-Fu,A,Riesen,2343.52,2356.036
P-Fu,A,Riesen,2356.04,2364.591
P-Fu,A,Riesen,2397.46,2406.963
P-Fu,A,Riesen,2628.8,2632.336
P-Fu,A,Riesen,2632.34,2635.697
P-Fu,A,Riesen,2731.68,2734.746
P-Fu,A,Riesen,2734.749,2737.657
P-Fu,A,Riesen,2740.54,2743.457
P-Fu,A,Riesen,2746.54,2749.437
P-Fu,A,Riesen,2793.64,2796.137
P-Fu,A,Riesen,2798.68,2801.377
P-Fu,A,Riesen,3076.92,3080.017
P-Fu,A,Riesen,3080.02,3083.137
P-Fu,A,Riesen,3798.64,3803.565
P-Fu,A,Riesen,3809.74,3813.376
P-Fu,A,Riesen,3826.52,3831.8
P-Fu,A,Riesen,3846.22,3850.54
P-Fu,A,Riesen,6099.44,6103.476
P-Fu,A,Riesen,6103.48,6108.031
P-Fu,A,Riesen,6108.036,6112.196
P-Fu,A,Riesen,6112.2,6116.196
P-Fu,A,Riesen,6128.88,6132.896
P-Fu,A,Riesen,6132.9,6136.541
P-Fu,A,Riesen,6136.545,6140.356
P-Fu,A,Riesen,6140.36,6144.016
P-Fu,A,Riesen,6156.46,6158.597
P-Fu,A,Riesen,6159.88,6161.818
P-Fu,A,Riesen,6162.98,6166.037
P-Fu,A,Riesen,6166.04,6168.737
P-Fu,A,Riesen,6168.74,6170.21
P-Fu,A,Riesen,6171.68,6173.13
P-Fu,A,Riesen,6174.58,6177.117
P-Fu,A,Riesen,6177.12,6179.677
P-Fu,A,Riesen,7193.22,7196.277
P-Fu,A,Riesen,7196.28,7199.297
P-Fu,A,Riesen,7199.3,7201.917
P-Fu,A,Riesen,7201.92,7205.057
P-Fu,A,Riesen,7205.06,7207.917
P-Fu,A,Riesen,7207.92,7210.997
P-Fu,A,Riesen,7211.0,7214.097
P-Fu,A,Riesen,7214.1,7216.957
P-Fu,A,Riesen,7216.96,7220.137
P-Fu,A,Riesen,7220.14,7222.817
P-Fu,A,Riesen,7222.82,7225.897
P-Fu,A,Riesen,7225.9,7229.137
P-Fu,A,Riesen,7229.14,7232.457
P-Fu,A,Riesen,7232.46,7235.597
P-Fu,A,Riesen,7235.6,7238.977
P-Fu,A,Riesen,7238.98,7242.776
P-Fu,A,Riesen,7242.78,7245.777
P-Fu,A,Riesen,7245.78,7248.877
P-Fu,A,Riesen,7248.88,7252.456
P-Fu,A,Riesen,7252.46,7255.257
P-Fu,A,Riesen,7255.26,7258.517
P-Fu,A,Riesen,7258.52,7261.457
P-Fu,A,Riesen,7261.46,7264.677
P-Fu,A,Riesen,7367.72,7371.276
P-Fu,A,Riesen,7503.52,7506.977
P-Fu,A,Riesen,7506.98,7509.597
